Movie name,Movie rate,Description,Creators,Trailer link,More Info
Superman,7.472,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",James Gunn,https://www.youtube.com/watch?v=MikgqM0LXr4,https://www.themoviedb.org/movie/1061474
One Battle After Another,7.5,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",Paul Thomas Anderson,https://www.youtube.com/watch?v=kQUPdVxZNPk,https://www.themoviedb.org/movie/1054867
Red Sonja,5.721,A young girl rises from the ashes of tragedy to become the most feared warrior woman of all time: the She-Devil with a Sword.,MJ Bassett,https://www.youtube.com/watch?v=A1EHM1_NG-8,https://www.themoviedb.org/movie/13494
KPop Demon Hunters,8.296,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.","Chris Appelhans, Maggie Kang",https://www.youtube.com/watch?v=AzCAwdp1uIQ,https://www.themoviedb.org/movie/803796
Donde tú quieras,6.0,"Ramiro Guerrero, a successful professional, is wrongly accused of a devastating crime. With his life in shambles, he fights to prove his innocence while facing a web of corruption and danger.","Andrés Valencia, Guillermo Barragán",N/A,https://www.themoviedb.org/movie/1447287
Mission: Impossible - The Final Reckoning,7.3,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",Christopher McQuarrie,https://www.youtube.com/watch?v=G1VBfMCZVkw,https://www.themoviedb.org/movie/575265
The Naked Gun,6.657,Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,Akiva Schaffer,https://www.youtube.com/watch?v=uLguU7WLreA,https://www.themoviedb.org/movie/1035259
How to Train Your Dragon,8.027,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",Dean DeBlois,https://www.youtube.com/watch?v=OWEq2Pf8qpk,https://www.themoviedb.org/movie/1087192
Prisoner of War,7.48,British RAF Wing Commander James Wright is captured by the Japanese during WWII and forced to fight in brutal hand-to-hand combat. The Japanese soldiers get more than they bargained for when Wright’s years of martial arts training in Hong Kong prove him to be a formidable opponent.,Louis Mandylor,https://www.youtube.com/watch?v=mKFL8CMoCVk,https://www.themoviedb.org/movie/1328803
Jurassic World Rebirth,6.407,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",Gareth Edwards,https://www.youtube.com/watch?v=2ZhB-YO5Tnk,https://www.themoviedb.org/movie/1234821
F1,7.83,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,Joseph Kosinski,https://www.youtube.com/watch?v=ge_ABjtYx88,https://www.themoviedb.org/movie/911430
As Good as Dead,6.444,An ex-cop in self-imposed witness protection in Mexico becomes a target when a fight video of his apprentice goes viral.,R. Ellis Frazier,https://www.youtube.com/watch?v=sx3r-9NF538,https://www.themoviedb.org/movie/1028248
Humane,5.4,"In the wake of an environmental collapse that has forced humanity to shed 20% of its population, a family dinner erupts into chaos when a father's plan to enlist in the government's new euthanasia program goes horribly awry.",Caitlin Cronenberg,https://www.youtube.com/watch?v=V4b-OMLNWE0,https://www.themoviedb.org/movie/914215
Together,7.21,"With a move to the countryside already testing the limits of a couple's relationship, a supernatural encounter begins an extreme transformation of their love, their lives, and their flesh.",Michael Shanks,https://www.youtube.com/watch?v=9bqIwMH3En8,https://www.themoviedb.org/movie/1242011
xXx,5.96,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",Rob Cohen,https://www.youtube.com/watch?v=NgPdDDzVhkA,https://www.themoviedb.org/movie/7451
Swiped,6.986,Whitney Wolfe uses extraordinary grit and ingenuity to break into the male-dominated tech industry.,Rachel Lee Goldenberg,https://www.youtube.com/watch?v=8seUGDLZRIo,https://www.themoviedb.org/movie/1265344
Dangerous Younger Cousin,8.7,"Hyang-gi hates her mother who only likes men and doesn't take care of herself. She brings a man to her house to sleep over so her mom will find her crooked. To correct Hyang-gi, she asked Do-hwan, Hyang-gi’s cousin, to live with her at home for a while. Hyang-gi and Do-hwan, who were reunited as adults, grew very attracted to each other. Chae-kyeong, Do-hwan's girlfriend, finds out about it. After revealing the truth in front of everyone, Hyang-gi and Do-hwan are on the verge of breaking up.",Kim Tae-hoon,N/A,https://www.themoviedb.org/movie/938086
Tuhog,5.9,"Abie mourns after the death of Michael. She finds solace from her supposedly soon-to-be father-in-law, Roldan, and starts falling for him. But when Michael returns, their world turns upside down.",G.B. Sampedro,https://www.youtube.com/watch?v=VvmSxnmFxv0,https://www.themoviedb.org/movie/1188808
Ice Road: Vengeance,6.4,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",Jonathan Hensleigh,https://www.youtube.com/watch?v=K6lJh9ADfbQ,https://www.themoviedb.org/movie/1119878
The Bad Guys 2,7.793,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",Pierre Perifel,https://www.youtube.com/watch?v=HvLHYox_Vq8,https://www.themoviedb.org/movie/1175942
Chainsaw Man - The Movie: Reze Arc,9.167,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",Tatsuya Yoshihara,https://www.youtube.com/watch?v=GJ1jrCnm-t8,https://www.themoviedb.org/movie/1218925
Get Fast,5.852,"When The Thief’s partner is kidnapped after stealing millions in cash from a merciless drug lord named Nushi, he reluctantly teams up with an angst-ridden orphan to rescue him. Nushi enlists her most trusted hitman, The Cowboy, a lovable charmer who’s quick with his guns, to track down the Thief. Guns, cars, and explosions will give the newfound partners a head start, but how long will they be able to keep it up?",James Clayton,https://www.youtube.com/watch?v=9yBlJjqhmYU,https://www.themoviedb.org/movie/1369679
Ne Zha 2,8.053,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",Yang Yu,https://www.youtube.com/watch?v=ETlOSBR92Fs,https://www.themoviedb.org/movie/980477
Stockholm Bloodbath,6.441,"In 1520, the notorious and power-hungry Danish King Christian II is determined to seize the Swedish crown from Sten Sture, no matter what it takes. Meanwhile, sisters Freja and Anne make a solemn promise to seek revenge on the men who brutally murdered their family. Everything comes to a head in the heart of Stockholm, where the sisters are drawn into a ruthless political struggle between Sweden and Denmark that culminates in a mass execution, presided over by the mad King ""Christian the Tyrant,"" known as the Stockholm Bloodbath.",Mikael Håfström,https://www.youtube.com/watch?v=UzUx3idEx-k,https://www.themoviedb.org/movie/1051486
The Thing Behind The Door,5.5,"The story of Adèle, a youg woman who’s literally haunted by the death of her husband, killed in a trench during World War One. Desperate and unable to face this tragic loss, Adèle turns to black magic in the hope to bring her lover back. The miracle will happen, but Adèle will have to pay the price for opening this Pandora Box.",Fabrice Blin,https://www.youtube.com/watch?v=RLCPvAZ_O1M,https://www.themoviedb.org/movie/691363
Lilo & Stitch,7.274,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,Dean Fleischer Camp,https://www.youtube.com/watch?v=VWqJifMMgZE,https://www.themoviedb.org/movie/552524
Detective Dee: The Four Heavenly Kings,6.235,"Dee, the detective serving Chinese empress Wu Zetian, is called upon to investigate a series of strange events in Loyang, including the appearance of mysterious warriors wearing Chiyou ghost masks, foxes that speak human language and the pillar sculptures in the palace coming alive.",Tsui Hark,https://www.youtube.com/watch?v=VvGUA1JmERw,https://www.themoviedb.org/movie/506763
The Long Walk,7.179,"In a dystopian, alternate-America ruled by a totalitarian regime, 50 teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",Francis Lawrence,https://www.youtube.com/watch?v=Toj3Zxun7aQ,https://www.themoviedb.org/movie/604079
Interstellar,8.461,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Christopher Nolan,https://www.youtube.com/watch?v=LY19rHKAaAg,https://www.themoviedb.org/movie/157336
Borders of Love,6.0,"After years together, Petr and Hana, partners in work and in life, share their unspoken erotic fantasies. What begins as an innocent conversation gradually turns into curious experimentation with a non-monogamous approach to their relationship. But sexual freedom tastes differently for each of them.",Tomasz Wiński,https://www.youtube.com/watch?v=upoY8ku6Xew,https://www.themoviedb.org/movie/993234
Eenie Meanie,6.404,A former teenage getaway driver gets dragged back into her unsavory past when a former employer offers her a chance to save the life of her chronically unreliable ex-boyfriend.,Shawn Simmons,https://www.youtube.com/watch?v=qH6SqkWS9WA,https://www.themoviedb.org/movie/1151334
Striking Rescue,7.579,A veteran Muay Thai expert goes on a take-no-prisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces.,Cheng Siyi,https://www.youtube.com/watch?v=uXfzJb-IUrk,https://www.themoviedb.org/movie/1382406
The Dark Knight,8.523,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Christopher Nolan,https://www.youtube.com/watch?v=_PZpmTj1Q8Q,https://www.themoviedb.org/movie/155
Stepmom's Desire,7.2,"Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.",Lee Dong-Joon,N/A,https://www.themoviedb.org/movie/715287
Ballerina,7.351,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",Len Wiseman,https://www.youtube.com/watch?v=b9Rr9ygb-ac,https://www.themoviedb.org/movie/541671
Elio,6.9,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.","Madeline Sharafian, Domee Shi, Adrian Molina",https://www.youtube.com/watch?v=yH5zbV7eweM,https://www.themoviedb.org/movie/1022787
Sexy Oral: Uwakina Kuchibiru,6.0,A woman rejects her clingy female lover and pursues a female co-worker. The spurned lover plots revenge and the co-worker has a kinky secret.,Isao Hayashi,N/A,https://www.themoviedb.org/movie/994682
The Ugly Stepsister,7.242,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",Emilie Blichfeldt,https://www.youtube.com/watch?v=5vZ1_Yxjwzs,https://www.themoviedb.org/movie/1284120
Maalikaya,7.8,"Kara, a young inmate who unleashes her hidden sexual fantasies while serving time. After meeting Lila, a seductive inmate played by Jenn Rosa, Kara finds a new purpose in life. But her dark past still haunts her even behind bars.",Roman Perez Jr.,https://www.youtube.com/watch?v=0SbftOXQE_I,https://www.themoviedb.org/movie/1506456
Anaconda,7.2,"A struggling circus crew gets deceived by its former partner, as it embarks on a tour in Thailand. During the journey through a Southeast Asian rainforest, they encounter attacks by a giant python. They meet a mysterious man named Jeff who offers to help, but they soon realize he's a poacher. As they search for Jeff's boat, they face life-and-death struggles with the python and Jeff himself.","Xiang Qiuliang, Xiang Hesheng",https://www.youtube.com/watch?v=icDxdOgJaXc,https://www.themoviedb.org/movie/1252428
Final Destination Bloodlines,7.119,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.","Zach Lipovsky, Adam B. Stein",https://www.youtube.com/watch?v=xitSoRbHJ50,https://www.themoviedb.org/movie/574475
Kiskisan,6.8,"A steamy tale of love, lust, and betrayal. When Adele's sister Bea returns with her girlfriend Cheska, a secret affair begins between Cheska and Adele's boyfriend, Rener, leading to a climactic ending when they're caught.",Bobby Bonifacio,N/A,https://www.themoviedb.org/movie/1337395
Laila,5.8,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",Ram Narayan,https://www.youtube.com/watch?v=FyhFBHpTh6Y,https://www.themoviedb.org/movie/1403735
Star Virgin,5.3,"Eiko is an alien girl with a unique superpower. She wears an amulet that can sense when men are attracted to her. Using this amulet she can transform into a superhero, Star Virgin, and use her super powers to protect herself. Originally coming to earth to sightsee, Eiko has to save the world from killer robots and protect her nerdy companion.",Ichiro Ômomo,N/A,https://www.themoviedb.org/movie/228854
The Conjuring,7.54,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",James Wan,https://www.youtube.com/watch?v=k10ETZ41q5o,https://www.themoviedb.org/movie/138843
The Wrong Paris,6.576,"Dawn thinks she's joining a dating show in Paris, France, only to land in Paris, Texas. She has an exit plan — until sparks fly with the cowboy bachelor.",Janeen Damian,https://www.youtube.com/watch?v=SgKpEeduwh0,https://www.themoviedb.org/movie/1321439
All of You,7.0,"Laura and Simon have been best friends since college. Over the years, they've realized their bond is more than platonic. Can they—and should they—risk everything to explore a love that has existed all along?",William Bridges,https://www.youtube.com/watch?v=RnYEi3bDCcc,https://www.themoviedb.org/movie/1319965
I Know What You Did Last Summer,5.952,"When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summer…and is hell-bent on revenge.",Jennifer Kaytin Robinson,https://www.youtube.com/watch?v=IceTkSOSNJI,https://www.themoviedb.org/movie/1083433
Sinners,7.544,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Ryan Coogler,https://www.youtube.com/watch?v=l2h2lC0vlX4,https://www.themoviedb.org/movie/1233413
Undryable Younger Cousin,2.0,"So-jeong, who lives with her older brothers, is living as a sex partner with her younger brother, Sang-woo, without her eldest brother Min-woo.  However, I'm worried that Sang-woo's reaction isn't cool these days. Sang-woo started seeing his ex-girlfriend again.  Meanwhile, Min-woo witnesses So-jeong and Sang-woo having sex one day...",Choi Sung-eun,N/A,https://www.themoviedb.org/movie/828769
Ne Zha,7.894,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.",Yang Yu,https://www.youtube.com/watch?v=PYSiEFeMbZ0,https://www.themoviedb.org/movie/615453
Sinners,7.545,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Ryan Coogler,https://www.youtube.com/watch?v=l2h2lC0vlX4,https://www.themoviedb.org/movie/1233413
28 Years Later,6.738,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",Danny Boyle,https://www.youtube.com/watch?v=IYGG55qwQZQ,https://www.themoviedb.org/movie/1100988
How I Became a Gangster,7.0,"The action of the film begins in the 1970s – even then, the young protagonist knows that adrenaline tastes better than powdered milk. Over time, he also discovers a desire for money, power, and being above the law. A transformation begins, and his gangster talent blossoms. Together with a friend, they build their own army.",Maciej Kawulski,https://www.youtube.com/watch?v=6p8nuJ6-JDc,https://www.themoviedb.org/movie/660033
Freakier Friday,6.88,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",Nisha Ganatra,https://www.youtube.com/watch?v=IyJzhtJEtoU,https://www.themoviedb.org/movie/1125257
Ruth & Boaz,6.111,"A talented singer leaves the Atlanta music scene and starts over in small-town Tennessee, where she finds love and new purpose but can't escape the past.",Alanna Brown,https://www.youtube.com/watch?v=TXPxYr5Efn4,https://www.themoviedb.org/movie/1371189
Mantis,0.0,"Inside an apartment in Milan, two gay boys talk about their feelings towards dating apps.",Paolo Gallina,N/A,https://www.themoviedb.org/movie/1498658
Skin. Like. Sun.,6.1,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.","Jennifer Lyon Bell, Murielle Scherre",N/A,https://www.themoviedb.org/movie/259872
My Freaky Family,7.0,"On the cusp of her 13th birthday, Betty Flood – budding musician and magical being – just wants to be like the rest of her fabulous, but very different family, so why is her magical Mum so against it? As Betty wrestles with this, she also learns the amazing truth about her family and discovers that the not so normal, the magical and the musical are all a part of her fabulously freaky family. It's very freaky, so be freaked freaky ahh deaky peaky neaky seaky peaky poo.",Mark Gravas,https://www.youtube.com/watch?v=I1omD5RUoRE,https://www.themoviedb.org/movie/974397
Splitsville,6.6,"After Ashley asks for a divorce, good-natured Carey runs to his friends, Julie and Paul, for support. He’s shocked to discover that the secret to their happiness is an open marriage, that is until Carey crosses the line and throws all of their relationships into chaos.",Michael Angelo Covino,https://www.youtube.com/watch?v=VrdSQSLD63Q,https://www.themoviedb.org/movie/1337562
The Hacienda: Return of the Damned,5.5,A group of friends return to their hometown after many years. The trip is an excuse to reminisce about old times but turns into a nightmare when they unearth their darkest memories.,Gaby Smiths,https://www.youtube.com/watch?v=tf8z7Na5oFU,https://www.themoviedb.org/movie/1354441
Karate Kid: Legends,7.121,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",Jonathan Entwistle,https://www.youtube.com/watch?v=LhRXf-yEQqA,https://www.themoviedb.org/movie/1011477
My Fault,7.778,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",Domingo González,https://www.youtube.com/watch?v=xY-qRGC6Yu0,https://www.themoviedb.org/movie/1010581
The Wrong Paris,6.594,"Dawn thinks she's joining a dating show in Paris, France, only to land in Paris, Texas. She has an exit plan — until sparks fly with the cowboy bachelor.",Janeen Damian,https://www.youtube.com/watch?v=SgKpEeduwh0,https://www.themoviedb.org/movie/1321439
A Line of Fire,6.321,"After working as a secret agent in the FBI for ten years, Jack 'Cash' Conry left it all behind after his wife passed in order to dedicate himself to his two daughters. Despite a fulfilling life at home, Cash misses the chance to make an impact and has been considering a return to the force. The decision is made for him when his old partner’s niece Jamie calls him for help, launching Cash right back into a world of danger, corruption and intrigue.",Matt Shapira,https://www.youtube.com/watch?v=H3nT838DEno,https://www.themoviedb.org/movie/1367575
Thunderbolts*,7.344,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",Jake Schreier,https://www.youtube.com/watch?v=7rs_HhSA7XY,https://www.themoviedb.org/movie/986056
Dracula: A Love Tale,7.1,"The story of 15th century Prince Vladimir who curses God following the death of his beloved wife and is turned into a vampire. Later, in 19th century London, he discovers his wife’s doppelgänger and dooms himself by pursuing her.",Luc Besson,https://www.youtube.com/watch?v=w05UztF-3xY,https://www.themoviedb.org/movie/1246049
Africa Blood and Guts,6.261,"A chronicle of the violence that occurred in much of the African continent throughout the 1960s. As many African countries were transitioning from colonial rule to other forms of government, violent political upheavals were frequent. Revolutions in Zanzibar and Kenya in which thousands were killed are shown, the violence not only political; there is also extensive footage of hunters and poachers slaughtering different types of wild animals.","Gualtiero Jacopetti, Franco Prosperi",https://www.youtube.com/watch?v=R2owwGvTsUw,https://www.themoviedb.org/movie/41264
Bring Her Back,7.433,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.","Michael Philippou, Danny Philippou",https://www.youtube.com/watch?v=1I15ttCedfY,https://www.themoviedb.org/movie/1151031
Star Virgin,5.3,"Eiko is an alien girl with a unique superpower. She wears an amulet that can sense when men are attracted to her. Using this amulet she can transform into a superhero, Star Virgin, and use her super powers to protect herself. Originally coming to earth to sightsee, Eiko has to save the world from killer robots and protect her nerdy companion.",Ichiro Ômomo,N/A,https://www.themoviedb.org/movie/228854
Legends of the Condor Heroes: The Gallants,6.777,"Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.",Tsui Hark,https://www.youtube.com/watch?v=uyIPBAmY1hY,https://www.themoviedb.org/movie/1185528
Secret Headquarters,6.456,"While hanging out after school, Charlie and his friends discover the headquarters of the world’s most powerful superhero hidden beneath his home. When villains attack, they must team up to defend the headquarters and save the world.","Henry Joost, Ariel Schulman",https://www.youtube.com/watch?v=OjIz3knndzo,https://www.themoviedb.org/movie/791155
The Veteran,5.8,"Soldier Robert Miller returns home from Afghanistan unable to fit back into society. Living on a violent council estate and finding work in undercover surveillance, he becomes obsessed with taking down a group of local gangsters who are intrinsically tied to a suspected terrorist cell. Taking the situation into his own hands, Robert embarks on a brutal quest for justice, with devastating consequences.",Matthew Hope,https://www.youtube.com/watch?v=EYWKZttKAqs,https://www.themoviedb.org/movie/70196
Ligaw,7.2,"A sultry woman who charms the hearts of men in a remote province. Dolores, a devoted wife to her paraplegic husband, falls for a young mountaineer. What begins as a reckless escape turns into an affair drenched in passion and secrecy.",Omar Deroca,https://www.youtube.com/watch?v=EFzDoPUtweA,https://www.themoviedb.org/movie/1470086
Highest 2 Lowest,5.777,"When a titan music mogul, widely known as having the ""best ears in the business"", is targeted with a ransom plot, he is jammed up in a life-or-death moral dilemma.",Spike Lee,https://www.youtube.com/watch?v=Sh8yqcozfn8,https://www.themoviedb.org/movie/1242434
The Conjuring: The Devil Made Me Do It,7.4,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",Michael Chaves,https://www.youtube.com/watch?v=tLFnRAzcaEc,https://www.themoviedb.org/movie/423108
Trust,5.9,"A Hollywood starlet seeks refuge in a secluded Airbnb following a high-profile scandal, only to find herself at the mercy of hardened criminals on the hunt for a score.",Carlson Young,https://www.youtube.com/watch?v=UgalwGXCAFs,https://www.themoviedb.org/movie/1244953
Fight Club,8.438,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",David Fincher,https://www.youtube.com/watch?v=dfeUzm6KF4g,https://www.themoviedb.org/movie/550
Lookout,6.4,"Seeking peace away from her turbulent life, a young woman accepts a job as a fire lookout at a remote wilderness tower. As she settles into her new role, eerie disturbances and strange occurrences begin to unfold, and she must uncover the chilling secrets that disrupt her isolation before it’s too late.",Stefan Colson,https://www.youtube.com/watch?v=8HJ9vlwFCCw,https://www.themoviedb.org/movie/1530127
