Tên xe,Giá,Nam s?n xu?t,Ki?u dáng,Tình tr?ng,Xu?t x?,S? km dã di,T?nh thành,H?p s?,Nhiên li?u
Mercedes-Benz C200 2.0 AT 2016,579000000,Nam SX 2016,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 69.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz C200 2.0 AT 2016,599000000,Nam SX 2016,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 106.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 200 V1 2022,1379000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 28.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 200 V1 2022,1379000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 39.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 300 4Matic 2023,2379000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 13.333 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast LUX A2.0 Nâng cao 2020,450000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 76.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Tiêu Chu?n 2022,300000000,Nam SX 2022,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Accent 1.4 AT 2021,430000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 46.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Honda CR-V 1.5 G 2018,680000000,Nam SX 2018,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 70.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Forte SLI 1.6 AT 2011,210000000,Nam SX 2011,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 6 2.5 2015,399000000,Nam SX 2015,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 68.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz AMG G63 2022,9899000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 15.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG 7 2025,630000000,Nam SX 2025,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 26.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF e34 Tiêu chu?n 2022,450000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 Hatchback 1.2 MT Base 2016,145000000,Nam SX 2016,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 140.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda 3 1.6 AT 2018,420000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 85.000 km,"T?nh thành
C?n Tho",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG ZS 1.5L LUX+ 2025,525000000,Nam SX 2025,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 5.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 Sedan 1.2 MT 2016,135000000,Nam SX 2016,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 199.999 km,"T?nh thành
H?i Phòng",H?p s? S? sàn,Nhiên li?u Máy xang
Honda Civic 1.8 MT 2008,170000000,Nam SX 2008,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy xang
Ford Transit Tiêu chu?n 2020,430000000,Nam SX 2020,Ki?u dáng Van/Minivan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 345 km,"T?nh thành
Khánh Hòa",H?p s? S? sàn,Nhiên li?u Máy d?u
Toyota Vios 1.5G AT 2019,305000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 270.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Titanium 2.2L 4x2 AT 2018,760000000,Nam SX 2018,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 101.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Cerato Koup 2.0 AT 2010,219000000,Nam SX 2010,Ki?u dáng Coupe,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 160.000 km,"T?nh thành
B?n Tre",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Outlander 2.0 CVT Premium 2022,720000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 59.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ferrari F8 Spider 2022,26999000000,Nam SX 2022,,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 7.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
BMW X6 2020,2638000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 54.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.0L 4x2 AT 2021,545000000,Nam SX 2021,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 90.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Cerato Koup 2.0 AT 2010,219000000,Nam SX 2010,Ki?u dáng Coupe,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 160.000 km,"T?nh thành
B?n Tre",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Outlander 2.0 CVT Premium 2022,720000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 59.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ferrari F8 Spider 2022,26999000000,Nam SX 2022,,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 7.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
BMW X6 2020,2638000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 54.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.0L 4x2 AT 2021,545000000,Nam SX 2021,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 90.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
MG ZS 1.5L LUX+ 2025,525000000,Nam SX 2025,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 1.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Innova 2.0E 2019,430000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 180.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG ZS 1.5 2WD STD+ 2021,385000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 30.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Xpander AT Premium 2022,555000000,Nam SX 2022,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 24.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz C300 AMG 2022,1789000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 17.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF e34 2022,415000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 86.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki Swift GLX 1.2 CVT 2019,430000000,Nam SX 2019,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 69.800 km,"T?nh thành
Ðà N?ng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Xpander AT Premium 2023,585000000,Nam SX 2023,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 20.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz C300 AMG 2022,1839000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 26.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2019,413000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 92.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Vios 1.5E MT 2015,180000000,Nam SX 2015,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 333.830 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Wigo 1.2 G AT 2021,288000000,Nam SX 2021,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 79.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda CX-5 2019,625000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 70.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 Sedan 1.2 MT 2020,250000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 200.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda CX-5 2.0 Deluxe 2018,565000000,Nam SX 2018,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 69.000 km,"T?nh thành
Khánh Hòa",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Orlando LTZ 1.8 2016,340000000,Nam SX 2016,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 106.000 km,"T?nh thành
Bình Ð?nh",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG ZS 1.5 2WD LUX+ 2025,525000000,Nam SX 2025,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 1.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Santa Fe 2.2 D?u Cao c?p 2024,1265000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 13.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Lexus ES 250 2022,1999000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 46.004 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Vios 1.5E MT 2020,296000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 62.000 km,"T?nh thành
Bình Duong",H?p s? S? sàn,Nhiên li?u Máy xang
Mercedes-Benz GLS 450 2021,4099000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 29.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Spark LS 2012,110000000,Nam SX 2012,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 98.000 km,"T?nh thành
Ð?ng Nai",H?p s? S? sàn,Nhiên li?u Máy xang
Jeep Wrangler Rubicon 2021,2449000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 43.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki Swift 2019,430000000,Nam SX 2019,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 68.978 km,"T?nh thành
Ðà N?ng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Morning MT 2015,143000000,Nam SX 2015,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 11.000 km,"T?nh thành
Bình Duong",H?p s? S? sàn,Nhiên li?u Máy xang
Jeep Wrangler Rubicon 2021,2449000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 43.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki Swift 2019,430000000,Nam SX 2019,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 68.978 km,"T?nh thành
Ðà N?ng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Morning MT 2015,143000000,Nam SX 2015,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 11.000 km,"T?nh thành
Bình Duong",H?p s? S? sàn,Nhiên li?u Máy xang
Ford Everest Limited 2009,305000000,Nam SX 2009,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 170.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Chevrolet Colorado  2018,420000000,Nam SX 2018,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 110.000 km,"T?nh thành
Long An",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Chevrolet Spark 1.2 mt 2011,118000000,Nam SX 2011,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 70.000 km,"T?nh thành
An Giang",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Alphard Executive Lounge 2019,2999000000,Nam SX 2019,Ki?u dáng Van/Minivan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 83.008 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Porsche Cayenne Coupe 2022,4599000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 22.222 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 6 2.0 Premium 2023,695000000,Nam SX 2023,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 37.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 3 Sedan 1.5L Premium 2022,615000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 12.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Carnival 2.2D Signature 2022,1175000000,Nam SX 2022,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 70.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Mazda 3 Sedan 1.5L Luxury 2022,570000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 23.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sorento 2.5G Premium 2022,919000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 30.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Lexus ES 250 2022,2190000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 28.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2019,399000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 39.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2019,399000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 39.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Fortuner 2.7 V 4X4 AT 2010,320000000,Nam SX 2010,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 114.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Lexus RX 350 2019,2650000000,Nam SX 2019,,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 43.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 2015,129000000,Nam SX 2015,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 98.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Suzuki Swift GL 1.2 CVT 2019,370000000,Nam SX 2019,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG ZS 1.5 2WD LUX+ 2025,525000000,Nam SX 2025,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 1.000 km,"T?nh thành
C?n Tho",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Volkswagen Viloran Premium 2023,1738000000,Nam SX 2023,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 32.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Honda CR-V 1.5 G 2022,810000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 52.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Vios 1.5E MT 2020,320000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 47.000 km,"T?nh thành
Kiên Giang",H?p s? S? sàn,Nhiên li?u Máy xang
Mitsubishi Xpander 1.5 MT 2020,385000000,Nam SX 2020,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 54.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy xang
Toyota Innova 2016,330000000,Nam SX 2016,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 140.000 km,"T?nh thành
Ðà N?ng",H?p s? S? sàn,Nhiên li?u Máy xang
Kia Seltos 1.4 Premium 2022,590000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 77.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Titanium 2.2L 4x2 AT 2016,570000000,Nam SX 2016,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 130.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Sorento 2WD 2.2 DATH 2014,425000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 140.000 km,"T?nh thành
Ð?k Nông",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Lexus RX 350 2013,930000000,Nam SX 2013,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 79.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 Sedan 1.2 MT 2019,220000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 111.111 km,"T?nh thành
Lâm Ð?ng",H?p s? S? sàn,Nhiên li?u Máy xang
